ItemNumb,ListID,BlockID,Shape,Texture,Color,Size,OGItemID,OGFile,ChangeType,Change,ChangeItemID,ChangeFile
1,1,1,Cube,Chalky,Purple,Tiny,CubeChalkyPurpleTiny,CCPT.png,Shape,Cylinder,CylinderChalkyPurpleTiny,LCPT.png
2,1,1,Sphere,Metallic,Blue,Medium,SphereMetallicBlueMedium,SMBM.png,Texture,Hairy,SphereHairyBlueMedium,SHBM.png
3,1,1,Cylinder,Bumpy,Yellow,Small,CylinderBumpyYellowSmall,LBYS.png,NoChange,NoChange,CylinderBumpyYellowSmall,LBYS.png
4,1,1,Cube,Bumpy,Red,Large,CubeBumpyRedLarge,CBRL.png,Shape,Pyramid,PyramidBumpyRedLarge,PBRL.png
5,1,2,Pyramid,Hairy,Yellow,Tiny,PyramidHairyYellowTiny,PHYT.png,NoChange,NoChange,PyramidHairyYellowTiny,PHYT.png
6,1,2,Pyramid,Bumpy,Red,Tiny,PyramidBumpyRedTiny,PBRT.png,Color,Purple,PyramidBumpyPurpleTiny,PBPT.png
7,1,2,Cube,Metallic,Red,Tiny,CubeMetallicRedTiny,CMRT.png,Size,Large,CubeMetallicRedLarge,CMRL.png
8,1,2,Cylinder,Hairy,Blue,Small,CylinderHairyBlueSmall,LHBS.png,Color,Yellow,CylinderHairyYellowSmall,LHYS.png
9,1,3,Sphere,Chalky,Purple,Tiny,SphereChalkyPurpleTiny,SCPT.png,NoChange,NoChange,SphereChalkyPurpleTiny,SCPT.png
10,1,3,Cylinder,Hairy,Red,Tiny,CylinderHairyRedTiny,LHRT.png,Texture,Sandy,CylinderSandyRedTiny,LSRT.png
11,1,3,Sphere,Chalky,Blue,Tiny,SphereChalkyBlueTiny,SCBT.png,Shape,Cube,CubeChalkyBlueTiny,CCBT.png
12,1,3,Cube,Bumpy,Purple,Small,CubeBumpyPurpleSmall,CBPS.png,Color,Blue,CubeBumpyBlueSmall,CBBS.png
13,1,4,Cylinder,Chalky,Purple,Small,CylinderChalkyPurpleSmall,LCPS.png,Size,Medium,CylinderChalkyPurpleMedium,LCPM.png
14,1,4,Sphere,Metallic,Yellow,Large,SphereMetallicYellowLarge,SMYL.png,NoChange,NoChange,SphereMetallicYellowLarge,SMYL.png
15,1,4,Cylinder,Metallic,Yellow,Tiny,CylinderMetallicYellowTiny,LMYT.png,Shape,Pyramid,PyramidMetallicYellowTiny,PMYT.png
16,1,4,Cube,Chalky,Blue,Medium,CubeChalkyBlueMedium,CCBM.png,Texture,Hairy,CubeHairyBlueMedium,CHBM.png
17,1,5,Cube,Hairy,Yellow,Large,CubeHairyYellowLarge,CHYL.png,Size,Small,CubeHairyYellowSmall,CHYS.png
18,1,5,Cylinder,Chalky,Red,Large,CylinderChalkyRedLarge,LCRL.png,NoChange,NoChange,CylinderChalkyRedLarge,LCRL.png
19,1,5,Sphere,Bumpy,Blue,Small,SphereBumpyBlueSmall,SBBS.png,Size,Large,SphereBumpyBlueLarge,SBBL.png
20,1,5,Pyramid,Metallic,Yellow,Medium,PyramidMetallicYellowMedium,PMYM.png,Color,Red,PyramidMetallicRedMedium,PMRM.png
21,1,6,Cube,Bumpy,Blue,Large,CubeBumpyBlueLarge,CBBL.png,NoChange,NoChange,CubeBumpyBlueLarge,CBBL.png
22,1,6,Cylinder,Metallic,Purple,Medium,CylinderMetallicPurpleMedium,LMPM.png,Size,Small,CylinderMetallicPurpleSmall,LMPS.png
23,1,6,Sphere,Metallic,Red,Small,SphereMetallicRedSmall,SMRS.png,Shape,Cube,CubeMetallicRedSmall,CMRS.png
24,1,6,Pyramid,Chalky,Purple,Tiny,PyramidChalkyPurpleTiny,PCPT.png,Texture,Metallic,PyramidMetallicPurpleTiny,PMPT.png
25,1,7,Cylinder,Hairy,Purple,Tiny,CylinderHairyPurpleTiny,LHPT.png,NoChange,NoChange,CylinderHairyPurpleTiny,LHPT.png
26,1,7,Cube,Hairy,Blue,Small,CubeHairyBlueSmall,CHBS.png,Color,Purple,CubeHairyPurpleSmall,CHPS.png
27,1,7,Cube,Metallic,Yellow,Tiny,CubeMetallicYellowTiny,CMYT.png,Shape,Sphere,SphereMetallicYellowTiny,SMYT.png
28,1,7,Pyramid,Bumpy,Yellow,Small,PyramidBumpyYellowSmall,PBYS.png,Texture,Sandy,PyramidSandyYellowSmall,PSYS.png
29,1,8,Pyramid,Hairy,Red,Medium,PyramidHairyRedMedium,PHRM.png,Size,Tiny,PyramidHairyRedTiny,PHRT.png
30,1,8,Cylinder,Metallic,Blue,Medium,CylinderMetallicBlueMedium,LMBM.png,NoChange,NoChange,CylinderMetallicBlueMedium,LMBM.png
31,1,8,Cylinder,Chalky,Blue,Large,CylinderChalkyBlueLarge,LCBL.png,Color,Red,CylinderChalkyRedLarge,LCRL.png
32,1,8,Cube,Hairy,Purple,Medium,CubeHairyPurpleMedium,CHPM.png,Texture,Chalky,CubeChalkyPurpleMedium,CCPM.png
33,1,9,Sphere,Bumpy,Yellow,Tiny,SphereBumpyYellowTiny,SBYT.png,Color,Red,SphereBumpyRedTiny,SBRT.png
34,1,9,Pyramid,Chalky,Red,Small,PyramidChalkyRedSmall,PCRS.png,Texture,Bumpy,PyramidBumpyRedSmall,PBRS.png
35,1,9,Cube,Chalky,Yellow,Small,CubeChalkyYellowSmall,CCYS.png,NoChange,NoChange,CubeChalkyYellowSmall,CCYS.png
36,1,9,Cylinder,Metallic,Red,Small,CylinderMetallicRedSmall,LMRS.png,Shape,Pyramid,PyramidMetallicRedSmall,PMRS.png
37,1,10,Pyramid,Chalky,Yellow,Large,PyramidChalkyYellowLarge,PCYL.png,Color,Purple,PyramidChalkyPurpleLarge,PCPL.png
38,1,10,Cube,Metallic,Yellow,Medium,CubeMetallicYellowMedium,CMYM.png,Size,Large,CubeMetallicYellowLarge,CMYL.png
39,1,10,Sphere,Bumpy,Red,Medium,SphereBumpyRedMedium,SBRM.png,NoChange,NoChange,SphereBumpyRedMedium,SBRM.png
40,1,10,Sphere,Hairy,Purple,Small,SphereHairyPurpleSmall,SHPS.png,Shape,Cylinder,CylinderHairyPurpleSmall,LHPS.png
41,1,11,Pyramid,Metallic,Purple,Large,PyramidMetallicPurpleLarge,PMPL.png,Size,Medium,PyramidMetallicPurpleMedium,PMPM.png
42,1,11,Cylinder,Bumpy,Blue,Tiny,CylinderBumpyBlueTiny,LBBT.png,Texture,Metallic,CylinderMetallicBlueTiny,LMBT.png
43,1,11,Cylinder,Hairy,Yellow,Medium,CylinderHairyYellowMedium,LHYM.png,Shape,Sphere,SphereHairyYellowMedium,SHYM.png
44,1,11,Pyramid,Metallic,Red,Large,PyramidMetallicRedLarge,PMRL.png,NoChange,NoChange,PyramidMetallicRedLarge,PMRL.png
45,1,12,Sphere,Chalky,Yellow,Medium,SphereChalkyYellowMedium,SCYM.png,Color,Blue,SphereChalkyBlueMedium,SCBM.png
46,1,12,Cube,Hairy,Red,Medium,CubeHairyRedMedium,CHRM.png,NoChange,NoChange,CubeHairyRedMedium,CHRM.png
47,1,12,Cube,Metallic,Blue,Tiny,CubeMetallicBlueTiny,CMBT.png,Texture,Bumpy,CubeBumpyBlueTiny,CBBT.png
48,1,12,Sphere,Hairy,Yellow,Small,SphereHairyYellowSmall,SHYS.png,Color,Blue,SphereHairyBlueSmall,SHBS.png
49,1,13,Pyramid,Chalky,Blue,Tiny,PyramidChalkyBlueTiny,PCBT.png,NoChange,NoChange,PyramidChalkyBlueTiny,PCBT.png
50,1,13,Sphere,Bumpy,Purple,Large,SphereBumpyPurpleLarge,SBPL.png,Size,Small,SphereBumpyPurpleSmall,SBPS.png
51,1,13,Pyramid,Metallic,Blue,Small,PyramidMetallicBlueSmall,PMBS.png,Shape,Sphere,SphereMetallicBlueSmall,SMBS.png
52,1,13,Cylinder,Bumpy,Red,Medium,CylinderBumpyRedMedium,LBRM.png,Texture,Metallic,CylinderMetallicRedMedium,LMRM.png
53,1,14,Cylinder,Chalky,Yellow,Large,CylinderChalkyYellowLarge,LCYL.png,Size,Small,CylinderChalkyYellowSmall,LCYS.png
54,1,14,Sphere,Hairy,Blue,Large,SphereHairyBlueLarge,SHBL.png,NoChange,NoChange,SphereHairyBlueLarge,SHBL.png
55,1,14,Pyramid,Bumpy,Blue,Medium,PyramidBumpyBlueMedium,PBBM.png,Size,Tiny,PyramidBumpyBlueTiny,PBBT.png
56,1,14,Pyramid,Hairy,Blue,Large,PyramidHairyBlueLarge,PHBL.png,Shape,Cylinder,CylinderHairyBlueLarge,LHBL.png
57,1,15,Cube,Metallic,Purple,Large,CubeMetallicPurpleLarge,CMPL.png,NoChange,NoChange,CubeMetallicPurpleLarge,CMPL.png
58,1,15,Cube,Chalky,Red,Tiny,CubeChalkyRedTiny,CCRT.png,Color,Yellow,CubeChalkyYellowTiny,CCYT.png
59,1,15,Sphere,Hairy,Red,Tiny,SphereHairyRedTiny,SHRT.png,Size,Small,SphereHairyRedSmall,SHRS.png
60,1,15,Sphere,Metallic,Purple,Medium,SphereMetallicPurpleMedium,SMPM.png,Texture,Hairy,SphereHairyPurpleMedium,SHPM.png
61,1,16,Pyramid,Bumpy,Purple,Small,PyramidBumpyPurpleSmall,PBPS.png,NoChange,NoChange,PyramidBumpyPurpleSmall,PBPS.png
62,1,16,Pyramid,Hairy,Purple,Medium,PyramidHairyPurpleMedium,PHPM.png,Shape,Cylinder,CylinderHairyPurpleMedium,LHPM.png
63,1,16,Sphere,Chalky,Red,Large,SphereChalkyRedLarge,SCRL.png,Texture,Hairy,SphereHairyRedLarge,SHRL.png
64,1,16,Cylinder,Bumpy,Purple,Large,CylinderBumpyPurpleLarge,LBPL.png,Color,Yellow,CylinderBumpyYellowLarge,LBYL.png
1,2,1,Cube,Chalky,Purple,Tiny,CubeChalkyPurpleTiny,CCPT.png,Size,Medium,CubeChalkyPurpleMedium,CCPM.png
2,2,1,Sphere,Metallic,Blue,Medium,SphereMetallicBlueMedium,SMBM.png,Color,Red,SphereMetallicRedMedium,SMRM.png
3,2,1,Cylinder,Bumpy,Yellow,Small,CylinderBumpyYellowSmall,LBYS.png,NoChange,NoChange,CylinderBumpyYellowSmall,LBYS.png
4,2,1,Cube,Bumpy,Red,Large,CubeBumpyRedLarge,CBRL.png,Size,Small,CubeBumpyRedSmall,CBRS.png
5,2,2,Pyramid,Hairy,Yellow,Tiny,PyramidHairyYellowTiny,PHYT.png,NoChange,NoChange,PyramidHairyYellowTiny,PHYT.png
6,2,2,Pyramid,Bumpy,Red,Tiny,PyramidBumpyRedTiny,PBRT.png,Shape,Cube,CubeBumpyRedTiny,CBRT.png
7,2,2,Cube,Metallic,Red,Tiny,CubeMetallicRedTiny,CMRT.png,Texture,Hairy,CubeHairyRedTiny,CHRT.png
8,2,2,Cylinder,Hairy,Blue,Small,CylinderHairyBlueSmall,LHBS.png,Shape,Sphere,SphereHairyBlueSmall,SHBS.png
9,2,3,Sphere,Chalky,Purple,Tiny,SphereChalkyPurpleTiny,SCPT.png,NoChange,NoChange,SphereChalkyPurpleTiny,SCPT.png
10,2,3,Cylinder,Hairy,Red,Tiny,CylinderHairyRedTiny,LHRT.png,Color,Blue,CylinderHairyBlueTiny,LHBT.png
11,2,3,Sphere,Chalky,Blue,Tiny,SphereChalkyBlueTiny,SCBT.png,Size,Large,SphereChalkyBlueLarge,SCBL.png
12,2,3,Cube,Bumpy,Purple,Small,CubeBumpyPurpleSmall,CBPS.png,Shape,Sphere,SphereBumpyPurpleSmall,SBPS.png
13,2,4,Cylinder,Chalky,Purple,Small,CylinderChalkyPurpleSmall,LCPS.png,Texture,Metallic,CylinderMetallicPurpleSmall,LMPS.png
14,2,4,Sphere,Metallic,Yellow,Large,SphereMetallicYellowLarge,SMYL.png,NoChange,NoChange,SphereMetallicYellowLarge,SMYL.png
15,2,4,Cylinder,Metallic,Yellow,Tiny,CylinderMetallicYellowTiny,LMYT.png,Size,Small,CylinderMetallicYellowSmall,LMYS.png
16,2,4,Cube,Chalky,Blue,Medium,CubeChalkyBlueMedium,CCBM.png,Color,Red,CubeChalkyRedMedium,CCRM.png
17,2,5,Cube,Hairy,Yellow,Large,CubeHairyYellowLarge,CHYL.png,Texture,Metallic,CubeMetallicYellowLarge,CMYL.png
18,2,5,Cylinder,Chalky,Red,Large,CylinderChalkyRedLarge,LCRL.png,NoChange,NoChange,CylinderChalkyRedLarge,LCRL.png
19,2,5,Sphere,Bumpy,Blue,Small,SphereBumpyBlueSmall,SBBS.png,Texture,Chalky,SphereChalkyBlueSmall,SCBS.png
20,2,5,Pyramid,Metallic,Yellow,Medium,PyramidMetallicYellowMedium,PMYM.png,Shape,Cylinder,CylinderMetallicYellowMedium,LMYM.png
21,2,6,Cube,Bumpy,Blue,Large,CubeBumpyBlueLarge,CBBL.png,NoChange,NoChange,CubeBumpyBlueLarge,CBBL.png
22,2,6,Cylinder,Metallic,Purple,Medium,CylinderMetallicPurpleMedium,LMPM.png,Texture,Bumpy,CylinderBumpyPurpleMedium,LBPM.png
23,2,6,Sphere,Metallic,Red,Small,SphereMetallicRedSmall,SMRS.png,Size,Large,SphereMetallicRedLarge,SMRL.png
24,2,6,Pyramid,Chalky,Purple,Tiny,PyramidChalkyPurpleTiny,PCPT.png,Color,Red,PyramidChalkyRedTiny,PCRT.png
25,2,7,Cylinder,Hairy,Purple,Tiny,CylinderHairyPurpleTiny,LHPT.png,NoChange,NoChange,CylinderHairyPurpleTiny,LHPT.png
26,2,7,Cube,Hairy,Blue,Small,CubeHairyBlueSmall,CHBS.png,Shape,Pyramid,PyramidHairyBlueSmall,PHBS.png
27,2,7,Cube,Metallic,Yellow,Tiny,CubeMetallicYellowTiny,CMYT.png,Size,Small,CubeMetallicYellowSmall,CMYS.png
28,2,7,Pyramid,Bumpy,Yellow,Small,PyramidBumpyYellowSmall,PBYS.png,Color,Red,PyramidBumpyRedSmall,PBRS.png
29,2,8,Pyramid,Hairy,Red,Medium,PyramidHairyRedMedium,PHRM.png,Texture,Metallic,PyramidMetallicRedMedium,PMRM.png
30,2,8,Cylinder,Metallic,Blue,Medium,CylinderMetallicBlueMedium,LMBM.png,NoChange,NoChange,CylinderMetallicBlueMedium,LMBM.png
31,2,8,Cylinder,Chalky,Blue,Large,CylinderChalkyBlueLarge,LCBL.png,Shape,Pyramid,PyramidChalkyBlueLarge,PCBL.png
32,2,8,Cube,Hairy,Purple,Medium,CubeHairyPurpleMedium,CHPM.png,Color,Yellow,CubeHairyYellowMedium,CHYM.png
33,2,9,Sphere,Bumpy,Yellow,Tiny,SphereBumpyYellowTiny,SBYT.png,Shape,Cube,CubeBumpyYellowTiny,CBYT.png
34,2,9,Pyramid,Chalky,Red,Small,PyramidChalkyRedSmall,PCRS.png,Color,Yellow,PyramidChalkyYellowSmall,PCYS.png
35,2,9,Cube,Chalky,Yellow,Small,CubeChalkyYellowSmall,CCYS.png,NoChange,NoChange,CubeChalkyYellowSmall,CCYS.png
36,2,9,Cylinder,Metallic,Red,Small,CylinderMetallicRedSmall,LMRS.png,Size,Large,CylinderMetallicRedLarge,LMRL.png
37,2,10,Pyramid,Chalky,Yellow,Large,PyramidChalkyYellowLarge,PCYL.png,Shape,Sphere,SphereChalkyYellowLarge,SCYL.png
38,2,10,Cube,Metallic,Yellow,Medium,CubeMetallicYellowMedium,CMYM.png,Texture,Chalky,CubeChalkyYellowMedium,CCYM.png
39,2,10,Sphere,Bumpy,Red,Medium,SphereBumpyRedMedium,SBRM.png,NoChange,NoChange,SphereBumpyRedMedium,SBRM.png
40,2,10,Sphere,Hairy,Purple,Small,SphereHairyPurpleSmall,SHPS.png,Size,Medium,SphereHairyPurpleMedium,SHPM.png
41,2,11,Pyramid,Metallic,Purple,Large,PyramidMetallicPurpleLarge,PMPL.png,Texture,Bumpy,PyramidBumpyPurpleLarge,PBPL.png
42,2,11,Cylinder,Bumpy,Blue,Tiny,CylinderBumpyBlueTiny,LBBT.png,Color,Red,CylinderBumpyRedTiny,LBRT.png
43,2,11,Cylinder,Hairy,Yellow,Medium,CylinderHairyYellowMedium,LHYM.png,Size,Tiny,CylinderHairyYellowTiny,LHYT.png
44,2,11,Pyramid,Metallic,Red,Large,PyramidMetallicRedLarge,PMRL.png,NoChange,NoChange,PyramidMetallicRedLarge,PMRL.png
45,2,12,Sphere,Chalky,Yellow,Medium,SphereChalkyYellowMedium,SCYM.png,Shape,Cylinder,CylinderChalkyYellowMedium,LCYM.png
46,2,12,Cube,Hairy,Red,Medium,CubeHairyRedMedium,CHRM.png,NoChange,NoChange,CubeHairyRedMedium,CHRM.png
47,2,12,Cube,Metallic,Blue,Tiny,CubeMetallicBlueTiny,CMBT.png,Color,Purple,CubeMetallicPurpleTiny,CMPT.png
48,2,12,Sphere,Hairy,Yellow,Small,SphereHairyYellowSmall,SHYS.png,Shape,Pyramid,PyramidHairyYellowSmall,PHYS.png
49,2,13,Pyramid,Chalky,Blue,Tiny,PyramidChalkyBlueTiny,PCBT.png,NoChange,NoChange,PyramidChalkyBlueTiny,PCBT.png
50,2,13,Sphere,Bumpy,Purple,Large,SphereBumpyPurpleLarge,SBPL.png,Texture,Hairy,SphereHairyPurpleLarge,SHPL.png
51,2,13,Pyramid,Metallic,Blue,Small,PyramidMetallicBlueSmall,PMBS.png,Size,Tiny,PyramidMetallicBlueTiny,PMBT.png
52,2,13,Cylinder,Bumpy,Red,Medium,CylinderBumpyRedMedium,LBRM.png,Color,Yellow,CylinderBumpyYellowMedium,LBYM.png
53,2,14,Cylinder,Chalky,Yellow,Large,CylinderChalkyYellowLarge,LCYL.png,Texture,Metallic,CylinderMetallicYellowLarge,LMYL.png
54,2,14,Sphere,Hairy,Blue,Large,SphereHairyBlueLarge,SHBL.png,NoChange,NoChange,SphereHairyBlueLarge,SHBL.png
55,2,14,Pyramid,Bumpy,Blue,Medium,PyramidBumpyBlueMedium,PBBM.png,Texture,Chalky,PyramidChalkyBlueMedium,PCBM.png
56,2,14,Pyramid,Hairy,Blue,Large,PyramidHairyBlueLarge,PHBL.png,Size,Medium,PyramidHairyBlueMedium,PHBM.png
57,2,15,Cube,Metallic,Purple,Large,CubeMetallicPurpleLarge,CMPL.png,NoChange,NoChange,CubeMetallicPurpleLarge,CMPL.png
58,2,15,Cube,Chalky,Red,Tiny,CubeChalkyRedTiny,CCRT.png,Shape,Sphere,SphereChalkyRedTiny,SCRT.png
59,2,15,Sphere,Hairy,Red,Tiny,SphereHairyRedTiny,SHRT.png,Texture,Metallic,SphereMetallicRedTiny,SMRT.png
60,2,15,Sphere,Metallic,Purple,Medium,SphereMetallicPurpleMedium,SMPM.png,Color,Yellow,SphereMetallicYellowMedium,SMYM.png
61,2,16,Pyramid,Bumpy,Purple,Small,PyramidBumpyPurpleSmall,PBPS.png,NoChange,NoChange,PyramidBumpyPurpleSmall,PBPS.png
