ListID,ItemNumb,OG1,OG2,OG3,OG4,Change1,Change2,Change3,Change4,ChangeType1,ChangeType2,ChangeType3,ChangeType4
1,1,CCPT.png,SMBM.png,LBYS.png,CBRL.png,LCPT.png,SHBM.png,LBYS.png,PBRL.png,Shape,Texture,NoChange,Shape
1,2,PHYT.png,PBRT.png,CMRT.png,LHBS.png,PHYT.png,PBPT.png,CMRL.png,LHYS.png,NoChange,Color,Size,Color
1,3,SCPT.png,LHRT.png,SCBT.png,CBPS.png,SCPT.png,LSRT.png,CCBT.png,CBBS.png,NoChange,Texture,Shape,Color
1,4,LCPS.png,SMYL.png,LMYT.png,CCBM.png,LCPM.png,SMYL.png,PMYT.png,CHBM.png,Size,NoChange,Shape,Texture
1,5,CHYL.png,LCRL.png,SBBS.png,PMYM.png,CHYS.png,LCRL.png,SBBL.png,PMRM.png,Size,NoChange,Size,Color
1,6,CBBL.png,LMPM.png,SMRS.png,PCPT.png,CBBL.png,LMPS.png,CMRS.png,PMPT.png,NoChange,Size,Shape,Texture
1,7,LHPT.png,CHBS.png,CMYT.png,PBYS.png,LHPT.png,CHPS.png,SMYT.png,PSYS.png,NoChange,Color,Shape,Texture
1,8,PHRM.png,LMBM.png,LCBL.png,CHPM.png,PHRT.png,LMBM.png,LCRL.png,CCPM.png,Size,NoChange,Color,Texture
1,9,SBYT.png,PCRS.png,CCYS.png,LMRS.png,SBRT.png,PBRS.png,CCYS.png,PMRS.png,Color,Texture,NoChange,Shape
1,10,PCYL.png,CMYM.png,SBRM.png,SHPS.png,PCPL.png,CMYL.png,SBRM.png,LHPS.png,Color,Size,NoChange,Shape
1,11,PMPL.png,LBBT.png,LHYM.png,PMRL.png,PMPM.png,LMBT.png,SHYM.png,PMRL.png,Size,Texture,Shape,NoChange
1,12,SCYM.png,CHRM.png,CMBT.png,SHYS.png,SCBM.png,CHRM.png,CBBT.png,SHBS.png,Color,NoChange,Texture,Color
1,13,PCBT.png,SBPL.png,PMBS.png,LBRM.png,PCBT.png,SBPS.png,SMBS.png,LMRM.png,NoChange,Size,Shape,Texture
