ItemNumb,ListID,BlockID,Shape,Texture,Color,Size,OGItemID,OGFile,ChangeType,Change,ChangeItemID,ChangeFile,Numbers,Equation1,EqAns1,Equation2,EqAns2,Equation3,EqAns3
1,1,1,Cube,Chalky,Purple,Tiny,CubeChalkyPurpleTiny,CCPT.png,Shape,Cylinder,CylinderChalkyPurpleTiny,LCPT.png,1876342,18 x 2,36,76 x 3,228,21 x 4,84
2,1,1,Sphere,Metallic,Blue,Medium,SphereMetallicBlueMedium,SMBM.png,Texture,Hairy,SphereHairyBlueMedium,SHBM.png,5417623,54 x 3,162,17 x 6,102,35 x 2,70
3,1,1,Cylinder,Bumpy,Yellow,Small,CylinderBumpyYellowSmall,LBYS.png,NoChange,NoChange,CylinderBumpyYellowSmall,LBYS.png,1748652,17 x 2,34,48 x 6,288,21 x 5,105
4,1,1,Cube,Bumpy,Red,Large,CubeBumpyRedLarge,CBRL.png,Shape,Pyramid,PyramidBumpyRedLarge,PBRL.png,8431697,84 x 7,588,31 x 6,186,78 x 9,702
5,1,1,Pyramid,Hairy,Yellow,Tiny,PyramidHairyYellowTiny,PHYT.png,NoChange,NoChange,PyramidHairyYellowTiny,PHYT.png,6214957,62 x 7,434,14 x 9,126,76 x 5,380
6,1,1,Pyramid,Bumpy,Red,Tiny,PyramidBumpyRedTiny,PBRT.png,Color,Purple,PyramidBumpyPurpleTiny,PBPT.png,4871639,48 x 9,432,71 x 6,426,94 x 3,282
7,1,1,Cube,Metallic,Red,Tiny,CubeMetallicRedTiny,CMRT.png,Size,Large,CubeMetallicRedLarge,CMRL.png,2587139,25 x 9,225,87 x 1,87,92 x 3,276
8,1,1,Cylinder,Hairy,Blue,Small,CylinderHairyBlueSmall,LHBS.png,Color,Yellow,CylinderHairyYellowSmall,LHYS.png,6495823,64 x 3,192,95 x 8,760,36 x 2,72
9,1,2,Sphere,Chalky,Purple,Tiny,SphereChalkyPurpleTiny,SCPT.png,NoChange,NoChange,SphereChalkyPurpleTiny,SCPT.png,8749321,87 x 1,87,49 x 3,147,18 x 2,36
10,1,2,Cylinder,Hairy,Red,Tiny,CylinderHairyRedTiny,LHRT.png,Texture,Sandy,CylinderSandyRedTiny,LSRT.png,8492751,84 x 1,84,92 x 7,644,18 x 5,90
11,1,2,Sphere,Chalky,Blue,Tiny,SphereChalkyBlueTiny,SCBT.png,Shape,Cube,CubeChalkyBlueTiny,CCBT.png,7148326,71 x 6,426,48 x 3,144,67 x 2,134
12,1,2,Cube,Bumpy,Purple,Small,CubeBumpyPurpleSmall,CBPS.png,Color,Blue,CubeBumpyBlueSmall,CBBS.png,4612785,46 x 5,230,12 x 7,84,54 x 8,432
13,1,2,Cylinder,Chalky,Purple,Small,CylinderChalkyPurpleSmall,LCPS.png,Size,Medium,CylinderChalkyPurpleMedium,LCPM.png,6871239,68 x 9,612,71 x 2,142,96 x 3,288
14,1,2,Sphere,Metallic,Yellow,Large,SphereMetallicYellowLarge,SMYL.png,NoChange,NoChange,SphereMetallicYellowLarge,SMYL.png,7354926,73 x 6,438,54 x 9,486,67 x 2,134
15,1,2,Cylinder,Metallic,Yellow,Tiny,CylinderMetallicYellowTiny,LMYT.png,Shape,Pyramid,PyramidMetallicYellowTiny,PMYT.png,3815697,38 x 7,266,15 x 6,90,73 x 9,657
16,1,2,Cube,Chalky,Blue,Medium,CubeChalkyBlueMedium,CCBM.png,Texture,Hairy,CubeHairyBlueMedium,CHBM.png,1647538,16 x 8,128,47 x 5,235,81 x 3,243
17,1,3,Cube,Hairy,Yellow,Large,CubeHairyYellowLarge,CHYL.png,Size,Small,CubeHairyYellowSmall,CHYS.png,1623958,16 x 8,128,23 x 9,207,81 x 5,405
18,1,3,Cylinder,Chalky,Red,Large,CylinderChalkyRedLarge,LCRL.png,NoChange,NoChange,CylinderChalkyRedLarge,LCRL.png,3574681,35 x 1,35,74 x 6,444,13 x 8,104
19,1,3,Sphere,Bumpy,Blue,Small,SphereBumpyBlueSmall,SBBS.png,Size,Large,SphereBumpyBlueLarge,SBBL.png,8492537,84 x 7,588,92 x 5,460,78 x 3,234
20,1,3,Pyramid,Metallic,Yellow,Medium,PyramidMetallicYellowMedium,PMYM.png,Color,Red,PyramidMetallicRedMedium,PMRM.png,2435869,24 x 9,216,35 x 8,280,92 x 6,552
21,1,3,Cube,Bumpy,Blue,Large,CubeBumpyBlueLarge,CBBL.png,NoChange,NoChange,CubeBumpyBlueLarge,CBBL.png,2879453,28 x 3,84,79 x 4,316,32 x 5,160
